ts,bid,ask
1754006400000,30012.637205896033,30012.653979617695
1754006400300,30010.262255056896,30010.2816290288
1754006400600,30009.81851518734,30009.83292766104
1754006400900,30015.776865181568,30015.788177754603
1754006401200,30008.642297646627,30008.648427245214
1754006401500,30007.172245094065,30007.18652794954
1754006401800,30006.89378130678,30006.991229443873
1754006402100,29992.70118857943,29992.76225889056
1754006402400,30000.25331787554,30000.401288982706
1754006402700,30008.59971400603,30008.602526700186
1754006403000,30000.0206966969,30000.07942712249
1754006403300,29999.97192473786,29999.991908675343
1754006403600,30001.110484724308,30001.14081391857
1754006403900,30002.097925182483,30002.335917422693
1754006404200,29998.552041071038,29998.58121739664
1754006404500,29986.73267539128,29986.856130561304
1754006404800,29993.01639196923,29993.01738902211
1754006405100,29992.206834419154,29992.27887249979
1754006405400,29991.282609203103,29991.30538359555
1754006405700,29978.203418016077,29978.25658862567
1754006406000,29996.1919924473,29996.215437787523
1754006406300,29996.110411129564,29996.191652320013
1754006406600,29992.277588148085,29992.293438319037
1754006406900,30013.692776852342,30013.78694734183
1754006407200,30011.472565667802,30011.512834661164
1754006407500,30000.1008344735,30000.167905765255
1754006407800,29996.452569726156,29996.465686866795
1754006408100,29973.92220926424,29973.979626954108
1754006408400,29984.13433416522,29984.173339016725
1754006408700,29978.474628849614,29978.487209041883
1754006409000,29974.102383513324,29974.139897059962
1754006409300,29983.086111965516,29983.16191207322
1754006409600,29970.611614952017,29970.658102842994
1754006409900,29974.350923554186,29974.377093193238
1754006410200,29954.28866820599,29954.37765328878
1754006410500,29947.611926827685,29947.62740053503
1754006410800,29937.472001258175,29937.486923504846
1754006411100,29950.926929121677,29950.939529201474
1754006411400,29967.858878161718,29967.959007281966
1754006411700,29965.33575050606,29965.339649709586
1754006412000,29969.62654496075,29969.65351073392
1754006412300,29968.23499063837,29968.27052029408
1754006412600,29975.363394377808,29975.385183809525
1754006412900,29966.339895890247,29966.348803772198
1754006413200,29952.613884282535,29952.629514660835
1754006413500,29933.94842149702,29933.97736668281
1754006413800,29939.505297406773,29939.53199923715
1754006414100,29959.480540988523,29959.57844036309
1754006414400,29962.1339421286,29962.152417710055
1754006414700,29956.93417961116,29956.966791117728
1754006415000,29975.7241676963,29975.86753686798
1754006415300,29978.50426315886,29978.52911838181
1754006415600,29979.16089307897,29979.225107368515
1754006415900,29979.958589152626,29980.047054223487
1754006416200,29978.753921196265,29978.757080467076
1754006416500,29975.44676361052,29975.463947038494
1754006416800,29962.393651406448,29962.543773090794
1754006417100,29967.765209210836,29967.808466136263
1754006417400,29966.923760581456,29966.932886701004
1754006417700,29977.593758353887,29977.602324670534
1754006418000,29974.929797732315,29974.938780869496
1754006418300,29958.628515731358,29958.75982277119
1754006418600,29955.62478740681,29955.63282815264
1754006418900,29971.452116278575,29971.53775021241
1754006419200,29969.171893666768,29969.222293380022
1754006419500,29960.595147834112,29960.78390452961
1754006419800,29948.474349195472,29948.533339291425
1754006420100,29938.515534139406,29938.538108265224
1754006420400,29938.486688724894,29938.496028113346
1754006420700,29925.326097161837,29925.490466669202
1754006421000,29940.99654219419,29941.007106785662
1754006421300,29936.385372523975,29936.44281299055
1754006421600,29941.35104937606,29941.438281342405
1754006421900,29950.12738663302,29950.35332672834
